file,campaign,episode,actor,word_count,vocabulary,anger_norm,anticipation_norm,disgust_norm,fear_norm,joy_norm,sadness_norm,surprise_norm,trust_norm,matt_cnt,marisha_cnt,travis_cnt,laura_cnt,sam_cnt,liam_cnt,ashley_cnt,taliesin_cnt,orion_cnt
C1E001_FINAL_V2_MATT_treated.txt,C1,1,MATT,16201,2067,0.16237972090211425,0.10907655880031566,0.0873465549379502,0.17416665267258896,0.13379989588406185,0.08800399670859294,0.06130833431291876,0.1839182857814574,6,9,11,4,7,3,8,4,14
C1E002_FINAL_MATT_treated.txt,C1,2,MATT,12690,1742,0.1836385600480868,0.09866590164830234,0.07345444823050472,0.1538848100919974,0.14865165513284387,0.0968967966807571,0.06870040553779617,0.1761074226297116,2,13,40,6,14,6,2,9,13
C1E003_FINAL_MATT_treated.txt,C1,3,MATT,12197,1708,0.11920857616294626,0.09727427805937564,0.0713810849836128,0.18372735455472694,0.15659555009994353,0.09952064851738437,0.06538669425055688,0.20690581337145356,3,2,13,3,6,3,2,2,10
C1E004_FINAL_MATT_treated.txt,C1,4,MATT,18461,2343,0.166411299097631,0.10624788072331233,0.07137217788259585,0.1716924100794064,0.13797946262734648,0.1002500113871583,0.06452406739173343,0.18152269081081626,12,5,24,7,24,5,19,12,9
C1E005_FINAL_MATT_treated.txt,C1,5,MATT,14968,1864,0.18192272076643237,0.08664193685578928,0.08865333972959964,0.1901145030155493,0.11074378366106431,0.1224646566114665,0.0754870868246503,0.14397197253544833,2,13,39,6,24,8,20,10,12
C1E006_FINAL_MATT_treated.txt,C1,6,MATT,13589,1852,0.1589990635987986,0.10418858665431915,0.06905700471507975,0.17478455537479817,0.13291625927357595,0.10289457528107543,0.0707551362536097,0.18640481884874321,0,3,11,6,6,4,10,11,4
C1E007_FINAL_MATT_treated.txt,C1,7,MATT,19093,1921,0.20258914569520017,0.09138261229720303,0.06579276214480666,0.16041587754480738,0.11134459284852043,0.11428348915171314,0.09321136901875131,0.1609801512989979,0,12,46,12,25,9,13,7,34
C1E008_FINAL_MATT_treated.txt,C1,8,MATT,15667,1877,0.19324133470548094,0.114669986639767,0.07775898347787413,0.14905546360702016,0.11280163478619737,0.11281117161700432,0.06517556872023535,0.17448585644642067,3,11,4,7,9,7,16,5,19
C1E009_FINAL_MATT_treated.txt,C1,9,MATT,14270,2003,0.11680826774252424,0.11988362566060007,0.06343022781723368,0.14881606486209428,0.18366817975311722,0.10005397408467327,0.06803841090975456,0.19930124917000272,6,8,26,7,12,9,15,10,16
C1E010_FINAL_MATT_treated.txt,C1,10,MATT,19564,2420,0.1089108457835027,0.14160540998127163,0.06455305226619776,0.1455550362310551,0.1750353812513686,0.0895215931858815,0.0886208012341765,0.1861978800665463,15,18,30,12,17,9,9,17,24
C1E011_FINAL_MATT_treated.txt,C1,11,MATT,22858,2336,0.17748155287371212,0.10305253012683019,0.06990258863512122,0.15003699304706355,0.14724275561975975,0.08901273570718193,0.08734804858932453,0.17592279540100678,14,22,54,16,35,15,27,19,17
C1E012_FINAL_MATT_treated.txt,C1,12,MATT,26317,2752,0.11749500092849503,0.13038762652427943,0.05502970735807703,0.15343493850850504,0.16758260242377596,0.08235975911158709,0.07308512461122073,0.2206252405340597,31,2,3,3,1,2,2,2,7
C1E013_FINAL_MATT_treated.txt,C1,13,MATT,15568,1960,0.1612857550913842,0.11064404793181316,0.05681610778683258,0.1324860719959339,0.1544885126192996,0.08825939030249158,0.08474659503576229,0.21127351923648263,15,12,24,10,18,9,22,17,18
C1E014_FINAL_MATT_treated.txt,C1,14,MATT,7842,1421,0.07738912536042841,0.1605000514897707,0.034283605657009476,0.08724727104215296,0.22214832486612662,0.06926017781134149,0.06307496910613758,0.28609647466703286,2,1,11,7,4,4,2,1,4
C1E015-FINAL_MATT_treated.txt,C1,Others,MATT,18492,2201,0.1660553558862174,0.16196427604782657,0.055364908245970026,0.15766897029128035,0.13048313782870943,0.09263736858595285,0.07462857948981243,0.1611974036242309,7,9,17,8,10,10,6,5,11
C1E015_FINAL_MATT_treated.txt,C1,15,MATT,18492,2201,0.1660553558862174,0.16196427604782657,0.055364908245970026,0.15766897029128035,0.13048313782870943,0.09263736858595285,0.07462857948981243,0.1611974036242309,7,9,17,8,10,10,6,5,11
C1E016_FINAL_MATT_treated.txt,C1,16,MATT,15918,2126,0.093291576767107,0.1431507562824894,0.05425882251363392,0.13689290229094894,0.17995741130561843,0.08802664561945527,0.06346822881522156,0.2409536564055255,1,14,16,11,8,7,12,8,13
C1E017_FINAL_MATT_treated.txt,C1,17,MATT,17624,2230,0.1974479520986535,0.10630405908840591,0.06471703003012733,0.179949949787813,0.10883896465709941,0.09204892718692974,0.0740818728605829,0.17661124429038827,5,2,29,3,2,4,3,5,7
